levels,algs,ratios,variable,time
100000,zfp,nan,ABSORB,0
100000,zfp,nan,ABSORB,1
100000,zfp,nan,ABSORB,2
100000,zfp,nan,ABSORB,3
26,zfp,nan,ABSORB,4
26,zfp,nan,ABSORB,5
100000,zfp,nan,ABSORB,6
18,zfp,nan,ABSORB,7
100000,zfp,nan,ABSORB,8
100000,zfp,nan,ABSORB,9
100000,zfp,nan,ABSORB,10
100000,zfp,nan,ABSORB,11
100000,zfp,nan,ABSORB,12
100000,zfp,nan,ABSORB,13
18,zfp,nan,ABSORB,14
100000,zfp,nan,ABSORB,15
100000,zfp,nan,ABSORB,16
26,zfp,nan,ABSORB,17
26,zfp,nan,ABSORB,18
100000,zfp,nan,ABSORB,19
18,zfp,nan,ABSORB,20
100000,zfp,nan,ABSORB,21
100000,zfp,nan,ABSORB,22
100000,zfp,nan,ABSORB,23
100000,zfp,nan,ABSORB,24
100000,zfp,nan,ABSORB,25
100000,zfp,nan,ABSORB,26
20,zfp,nan,ABSORB,27
100000,zfp,nan,ABSORB,28
100000,zfp,nan,ABSORB,29
26,zfp,nan,ABSORB,30
26,zfp,nan,ABSORB,31
100000,zfp,nan,ABSORB,32
18,zfp,nan,ABSORB,33
100000,zfp,nan,ABSORB,34
100000,zfp,nan,ABSORB,35
100000,zfp,nan,ABSORB,36
100000,zfp,nan,ABSORB,37
100000,zfp,nan,ABSORB,38
100000,zfp,nan,ABSORB,39
18,zfp,nan,ABSORB,40
100000,zfp,nan,ABSORB,41
100000,zfp,nan,ABSORB,42
26,zfp,nan,ABSORB,43
26,zfp,nan,ABSORB,44
100000,zfp,nan,ABSORB,45
18,zfp,nan,ABSORB,46
18,zfp,nan,ABSORB,47
100000,zfp,nan,ABSORB,48
100000,zfp,nan,ABSORB,49
100000,zfp,nan,ABSORB,50
100000,zfp,nan,ABSORB,51
100000,zfp,nan,ABSORB,52
18,zfp,nan,ABSORB,53
100000,zfp,nan,ABSORB,54
100000,zfp,nan,ABSORB,55
26,zfp,nan,ABSORB,56
100000,zfp,nan,ABSORB,57
26,zfp,nan,ABSORB,58
100000,zfp,nan,ABSORB,59
18,zfp,nan,ABSORB,60
100000,zfp,nan,ABSORB,61
100000,zfp,nan,ABSORB,62
100000,zfp,nan,ABSORB,63
100000,zfp,nan,ABSORB,64
100000,zfp,nan,ABSORB,65
18,zfp,nan,ABSORB,66
100000,zfp,nan,ABSORB,67
100000,zfp,nan,ABSORB,68
100000,zfp,nan,ABSORB,69
26,zfp,nan,ABSORB,70
26,zfp,nan,ABSORB,71
100000,zfp,nan,ABSORB,72
20,zfp,nan,ABSORB,73
100000,zfp,nan,ABSORB,74
100000,zfp,nan,ABSORB,75
100000,zfp,nan,ABSORB,76
100000,zfp,nan,ABSORB,77
100000,zfp,nan,ABSORB,78
26,zfp,nan,ABSORB,79
20,zfp,nan,ABSORB,80
100000,zfp,nan,ABSORB,81
100000,zfp,nan,ABSORB,82
26,zfp,nan,ABSORB,83
26,zfp,nan,ABSORB,84
100000,zfp,nan,ABSORB,85
18,zfp,nan,ABSORB,86
100000,zfp,nan,ABSORB,87
100000,zfp,nan,ABSORB,88
100000,zfp,nan,ABSORB,89
26,zfp,nan,ABSORB,90
100000,zfp,nan,ABSORB,91
100000,zfp,nan,ABSORB,92
18,zfp,nan,ABSORB,93
