levels,algs,ratios,variable,times
14,zfp,2.60,FLNS,0
14,zfp,2.60,FLNS,1
14,zfp,2.60,FLNS,2
14,zfp,2.60,FLNS,3
14,zfp,2.60,FLNS,4
14,zfp,2.60,FLNS,5
14,zfp,2.60,FLNS,6
14,zfp,2.60,FLNS,7
14,zfp,2.60,FLNS,8
14,zfp,2.60,FLNS,9
14,zfp,2.60,FLNS,10
14,zfp,2.60,FLNS,11
14,zfp,2.60,FLNS,12
14,zfp,2.60,FLNS,13
14,zfp,2.60,FLNS,14
14,zfp,2.60,FLNS,15
14,zfp,2.60,FLNS,16
14,zfp,2.60,FLNS,17
14,zfp,2.60,FLNS,18
14,zfp,2.60,FLNS,19
14,zfp,2.60,FLNS,20
14,zfp,2.60,FLNS,21
14,zfp,2.60,FLNS,22
14,zfp,2.60,FLNS,23
16,zfp,2.34,FLNSC,0
16,zfp,2.34,FLNSC,1
16,zfp,2.34,FLNSC,2
16,zfp,2.34,FLNSC,3
16,zfp,2.34,FLNSC,4
16,zfp,2.34,FLNSC,5
16,zfp,2.34,FLNSC,6
16,zfp,2.34,FLNSC,7
16,zfp,2.34,FLNSC,8
16,zfp,2.34,FLNSC,9
16,zfp,2.34,FLNSC,10
16,zfp,2.34,FLNSC,11
16,zfp,2.34,FLNSC,12
16,zfp,2.34,FLNSC,13
16,zfp,2.34,FLNSC,14
16,zfp,2.34,FLNSC,15
16,zfp,2.34,FLNSC,16
16,zfp,2.34,FLNSC,17
16,zfp,2.34,FLNSC,18
16,zfp,2.34,FLNSC,19
16,zfp,2.34,FLNSC,20
16,zfp,2.34,FLNSC,21
16,zfp,2.34,FLNSC,22
16,zfp,2.34,FLNSC,23
16,zfp,2.35,FLUT,0
18,zfp,1.94,FLUT,1
16,zfp,2.35,FLUT,2
4,bg,2.01,FLUT,3
18,zfp,1.94,FLUT,4
18,zfp,1.94,FLUT,5
18,zfp,1.94,FLUT,6
4,bg,2.01,FLUT,7
4,bg,2.01,FLUT,8
16,zfp,2.35,FLUT,9
4,bg,2.01,FLUT,10
4,bg,2.01,FLUT,11
18,zfp,1.94,FLUT,12
16,zfp,2.35,FLUT,13
4,bg,2.01,FLUT,14
16,zfp,2.35,FLUT,15
16,zfp,2.35,FLUT,16
18,zfp,1.94,FLUT,17
18,zfp,1.94,FLUT,18
4,bg,2.01,FLUT,19
18,zfp,1.94,FLUT,20
18,zfp,1.94,FLUT,21
18,zfp,1.94,FLUT,22
4,bg,2.01,FLUT,23
14,zfp,2.57,FSNS,0
14,zfp,2.57,FSNS,1
14,zfp,2.57,FSNS,2
14,zfp,2.57,FSNS,3
14,zfp,2.57,FSNS,4
14,zfp,2.57,FSNS,5
14,zfp,2.57,FSNS,6
14,zfp,2.57,FSNS,7
14,zfp,2.57,FSNS,8
14,zfp,2.57,FSNS,9
14,zfp,2.57,FSNS,10
14,zfp,2.57,FSNS,11
14,zfp,2.57,FSNS,12
14,zfp,2.57,FSNS,13
14,zfp,2.57,FSNS,14
14,zfp,2.57,FSNS,15
14,zfp,2.57,FSNS,16
14,zfp,2.57,FSNS,17
14,zfp,2.57,FSNS,18
14,zfp,2.57,FSNS,19
14,zfp,2.57,FSNS,20
14,zfp,2.57,FSNS,21
14,zfp,2.57,FSNS,22
14,zfp,2.57,FSNS,23
16,zfp,2.42,FSNSC,0
18,zfp,1.98,FSNSC,1
18,zfp,1.98,FSNSC,2
18,zfp,1.98,FSNSC,3
18,zfp,1.98,FSNSC,4
18,zfp,1.98,FSNSC,5
18,zfp,1.98,FSNSC,6
18,zfp,1.98,FSNSC,7
18,zfp,1.98,FSNSC,8
18,zfp,1.98,FSNSC,9
18,zfp,1.98,FSNSC,10
18,zfp,1.98,FSNSC,11
18,zfp,1.98,FSNSC,12
18,zfp,1.98,FSNSC,13
18,zfp,1.98,FSNSC,14
18,zfp,1.98,FSNSC,15
18,zfp,1.98,FSNSC,16
18,zfp,1.98,FSNSC,17
18,zfp,1.98,FSNSC,18
18,zfp,1.98,FSNSC,19
18,zfp,1.98,FSNSC,20
18,zfp,1.98,FSNSC,21
18,zfp,1.98,FSNSC,22
18,zfp,1.98,FSNSC,23
14,zfp,2.63,FSNTOA,0
14,zfp,2.63,FSNTOA,1
14,zfp,2.63,FSNTOA,2
14,zfp,2.63,FSNTOA,3
14,zfp,2.63,FSNTOA,4
16,zfp,2.15,FSNTOA,5
16,zfp,2.15,FSNTOA,6
16,zfp,2.15,FSNTOA,7
14,zfp,2.63,FSNTOA,8
16,zfp,2.15,FSNTOA,9
16,zfp,2.15,FSNTOA,10
14,zfp,2.63,FSNTOA,11
14,zfp,2.63,FSNTOA,12
16,zfp,2.15,FSNTOA,13
14,zfp,2.63,FSNTOA,14
16,zfp,2.15,FSNTOA,15
14,zfp,2.63,FSNTOA,16
14,zfp,2.63,FSNTOA,17
14,zfp,2.63,FSNTOA,18
16,zfp,2.15,FSNTOA,19
14,zfp,2.63,FSNTOA,20
16,zfp,2.15,FSNTOA,21
16,zfp,2.15,FSNTOA,22
14,zfp,2.63,FSNTOA,23
