variable,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio,sz_level,sz_size,sz_ratio
FLNS,2,35891488.0,3.532484303799274,10,28593813.0,4.434040258988894,0,-1.0,-9935522.0
FLNSC,3,51668210.0,2.244957082894879,12,29361976.0,3.95044645496611,0,-1.0,1.0
FLUT,4,54846290.0,2.0067719439181757,14,36661637.0,3.002157159539821,0,-1.0,1.0
FSNS,2,30484341.0,3.7769687394587272,10,26197486.0,4.395017254709097,0,-1.0,-9305218.0
FSNSC,3,36411277.0,2.789013963998022,12,23792111.0,4.268287080536906,0,-1.0,1.0
FSNTOA,3,45250352.0,2.429400814384825,12,32543720.0,3.377955624003648,0,-1.0,1.0
ICEFRAC,2,8022248.0,3.006068249198978,12,8316295.0,2.8997798899630185,0,-1.0,1.0
LHFLX,3,63270682.0,2.0624178983877557,10,28156855.0,4.634416272698069,0,-1.0,-10456229.0
PRECL,2,49655010.0,2.724326407345402,12,43846596.0,3.0852213704343208,0,-1.0,-10652395.0
PRECSC,2,4490961.0,1.834636283859958,10,3426785.0,2.4043761134707897,0,-1.0,1.0
PRECSL,2,40795507.0,2.5060229304173127,10,29677040.0,3.444901378304575,0,-1.0,1.0
PRECT,2,48099134.0,2.774575255346593,12,42268249.0,3.1573266022919473,0,-1.0,1.0
PRECTMX,2,48099134.0,2.774575255346593,12,42268249.0,3.1573266022919473,0,-1.0,1.0
PSL,5,42613413.0,2.057081370131043,20,40512080.0,2.163780729105985,0,-1.0,1.0
Q200,3,54833040.0,2.1821296430035613,14,39380656.0,3.0383648764002307,0,-1.0,1.0
Q500,2,34984799.0,3.5649330727896995,12,33425446.0,3.731243167256467,0,-1.0,1.0
Q850,3,54441045.0,2.231659642095408,12,32136413.0,3.78056763833599,0,-1.0,1.0
QBOT,3,52364976.0,2.2817024684590708,12,31141230.0,3.836755805727648,0,-1.0,1.0
SHFLX,3,66881062.0,1.9642901603446428,12,39788668.0,3.301789645232658,0,-1.0,-10615810.0
SRF,0,-1.0,1.0,0,-1.0,1.0,0,-1.0,1.0
T010,5,36319856.0,2.2914967779607935,18,24285977.0,3.4269501696390474,0,-1.0,1.0
T200,4,31239389.0,2.932873399028387,16,26431834.0,3.466319174068663,0,-1.0,1.0
T500,5,48037604.0,1.8838124399376788,18,35217852.0,2.5695444458111756,0,-1.0,1.0
T850,5,52353483.0,1.7655300221381642,18,39241127.0,2.3554788831625553,0,-1.0,1.0
TAUX,2,43095302.0,3.0577060580756577,10,27320036.0,4.823301330935289,0,-1.0,1.0
TAUY,2,44943420.0,2.950255187522445,10,27879641.0,4.755963607996244,0,-1.0,1.0
TMQ,3,53099447.0,2.258126680678991,12,29412905.0,4.076621401388268,0,-1.0,-9418237.0
TREFHT,5,53514134.0,1.755997714547712,18,39557055.0,2.3755736366117244,0,-1.0,1.0
TREFHTMN,4,40383155.0,2.3536399521037916,18,42393829.0,2.2420104350564793,0,-1.0,1.0
TREFHTMX,4,39562508.0,2.3842061276802773,18,41315398.0,2.2830513214467882,0,-1.0,1.0
TS,4,38314801.0,2.4546309140428524,18,39252278.0,2.396006035624225,0,-1.0,-7697245.0
U010,3,42589282.0,2.5900706426560562,12,19831719.0,5.562263614162746,0,-1.0,1.0
U200,3,57936442.0,2.142051784954278,10,19101113.0,6.497153281067967,0,-1.0,1.0
U500,3,59818049.0,2.116047281983403,10,21333300.0,5.9333445833509115,0,-1.0,1.0
U850,3,62595031.0,2.064023979794818,10,24296821.0,5.31747116217385,0,-1.0,1.0
VBOT,2,44857819.0,2.9281906683871544,10,26163848.0,5.020371888722178,0,-1.0,1.0
WSPDSRFAV,3,58164035.0,2.1321939236162004,10,23694964.0,5.233897042426399,0,-1.0,1.0
Z050,6,53129030.0,1.393539765359917,22,35568417.0,2.0815493700492773,0,-1.0,1.0
Z500,5,58868930.0,1.5132006985688375,20,40685357.0,2.189497956230297,0,-1.0,1.0
