variable,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio,sz_level,sz_size,sz_ratio
FLNS,2,35891488.0,3.532484303799274,8,18701759.0,6.77936861447097,0,-1.0,-9935522.0
FLNSC,2,24750202.0,4.686544134064037,10,19985204.0,5.803939454408371,0,-1.0,1.0
FLUT,3,34241606.0,3.214335098651623,10,17217050.0,6.392732552905405,0,-1.0,1.0
FSNS,2,30484341.0,3.7769687394587272,8,17001578.0,6.772218614060413,0,-1.0,-9305218.0
FSNSC,2,16799271.0,6.0449980240214,8,11133259.0,9.12145850554631,0,-1.0,1.0
FSNTOA,2,23837566.0,4.611680655650833,8,14371572.0,7.64921485276628,0,-1.0,1.0
ICEFRAC,2,8022248.0,3.006068249198978,8,4817420.0,5.005879703243645,0,-1.0,1.0
LHFLX,2,40760318.0,3.201412388392063,8,18970847.0,6.878479753697872,0,-1.0,-10456229.0
PRECL,2,49655010.0,2.724326407345402,8,23786220.0,5.687177491841915,0,-1.0,-10652395.0
PRECSC,2,4490961.0,1.834636283859958,8,2729847.0,3.0182204350646757,0,-1.0,1.0
PRECSL,2,40795507.0,2.5060229304173127,8,21099245.0,4.84540920777023,0,-1.0,1.0
PRECT,2,48099134.0,2.774575255346593,8,22207054.0,6.0095619617082034,0,-1.0,1.0
PRECTMX,2,48099134.0,2.774575255346593,8,22207054.0,6.0095619617082034,0,-1.0,1.0
PSL,4,26362522.0,3.325146888450202,16,22051172.0,3.975265260277322,0,-1.0,1.0
Q200,2,29794602.0,4.015922145897434,10,20496920.0,5.8375991124520175,0,-1.0,1.0
Q500,2,34984799.0,3.5649330727896995,8,15087756.0,8.266203867559895,0,-1.0,1.0
Q850,2,32082527.0,3.7869175018538908,8,13878305.0,8.754230649924468,0,-1.0,1.0
QBOT,2,28912208.0,4.132555182226138,10,21272749.0,5.616636335999639,0,-1.0,1.0
SHFLX,2,43048831.0,3.051739360820274,8,20031474.0,6.558369693613161,0,-1.0,-10615810.0
SRF,0,-1.0,1.0,0,-1.0,1.0,0,-1.0,1.0
T010,4,20905432.0,3.98111041187764,14,15215470.0,5.4698824945926745,0,-1.0,1.0
T200,4,31239389.0,2.932873399028387,14,18340926.0,4.995449684492484,0,-1.0,1.0
T500,4,32345826.0,2.797697483440367,14,17561578.0,5.152944456358079,0,-1.0,1.0
T850,4,38271883.0,2.4151319128980404,14,20180393.0,4.580269868877182,0,-1.0,1.0
TAUX,2,43095302.0,3.0577060580756577,8,18436531.0,7.1473731148229565,0,-1.0,1.0
TAUY,2,44943420.0,2.950255187522445,8,18811246.0,7.048685557564873,0,-1.0,1.0
TMQ,2,27725810.0,4.324680793816303,8,12720492.0,9.426150969632307,0,-1.0,-9418237.0
TREFHT,4,38687748.0,2.4289523649709466,14,21605659.0,4.34935574054927,0,-1.0,1.0
TREFHTMN,4,40383155.0,2.3536399521037916,14,23117838.0,4.11143148420713,0,-1.0,1.0
TREFHTMX,4,39562508.0,2.3842061276802773,14,22312220.0,4.22751182984033,0,-1.0,1.0
TS,4,38314801.0,2.4546309140428524,14,22318594.0,4.213916656219474,0,-1.0,-7697245.0
U010,2,19902687.0,5.542429974404963,8,11055786.0,9.977513041587455,0,-1.0,1.0
U200,2,32571655.0,3.810149008393955,8,13118928.0,9.459832312518218,0,-1.0,1.0
U500,2,36102515.0,3.5060665441174943,8,14235706.0,8.89157306283229,0,-1.0,1.0
U850,2,40435090.0,3.195186284981683,8,16168047.0,7.990924630538246,0,-1.0,1.0
VBOT,2,44857819.0,2.9281906683871544,8,17385743.0,7.555170175930933,0,-1.0,1.0
WSPDSRFAV,2,34766564.0,3.567134273033136,8,15429728.0,8.037536500967484,0,-1.0,1.0
Z050,5,27200788.0,2.721884968920753,18,20657039.0,3.58412529501445,0,-1.0,1.0
Z500,4,32199222.0,2.7665421853981442,16,22468438.0,3.9646950980749085,0,-1.0,1.0
